User,tripID,N,departure,arrival,origin.Latitude,origin.Longitude,origin.Altitude,destination.Latitude,destination.Longitude,destination.Altitude,tot.time,tot.distance
006727cd1ec1d57b5620da98cf89f345,1,20,2024-04-01T03:07:24.010Z,2024-04-01T03:12:10.016Z,-2.90004401142955,-79.0072060428295,2555.2,-2.90044927519633,-79.0027840587416,2543.7,0.0871075000365575,0.56905193163883
006727cd1ec1d57b5620da98cf89f345,2,55,2024-04-01T03:12:38.016Z,2024-04-01T03:26:37.052Z,-2.90047986117378,-79.0026859241942,2541.3,-2.89397319784936,-78.979400803308,2506.4,0.255843888852331,2.99621355452112
006727cd1ec1d57b5620da98cf89f345,6,24,2024-04-01T11:43:30.649Z,2024-04-01T11:49:46Z,-2.89376819414153,-78.9792952446266,2508.1,-2.89542715531421,-78.9871512218977,2523.1,0.118153055575159,1.01699183819206
006727cd1ec1d57b5620da98cf89f345,8,52,2024-04-01T11:55:05.999Z,2024-04-01T12:02:49.998Z,-2.90657437313932,-78.9835218944007,2478.3,-2.91773559530801,-78.9993956108862,2511.3,0.145832777751817,2.37742840188318
006727cd1ec1d57b5620da98cf89f345,22,116,2024-04-01T17:57:47.820Z,2024-04-01T18:05:48.815Z,-2.91474930893675,-78.9941433000613,2500.8,-2.89385693889307,-78.979427235065,2508.3,0.168801666696866,3.616133707422
006727cd1ec1d57b5620da98cf89f345,25,47,2024-04-01T19:52:25.120Z,2024-04-01T19:57:15.820Z,-2.89442276740513,-78.9820125373554,2509,-2.90550135946801,-78.9839288458501,2480,0.0993369444873598,1.44001239613666
006727cd1ec1d57b5620da98cf89f345,31,71,2024-04-01T20:07:10.804Z,2024-04-01T20:12:32.765Z,-2.91795154671608,-79.000781022763,2512.9,-2.90674443104106,-78.9833340884886,2480.5,0.0966547222269906,2.53686255629843
006727cd1ec1d57b5620da98cf89f345,33,40,2024-04-01T20:14:28.293Z,2024-04-01T20:18:41.757Z,-2.90131794725431,-78.9844611396533,2485.1,-2.89390301724909,-78.9794167222458,2507.7,0.129572499990463,1.21928841591296
006727cd1ec1d57b5620da98cf89f345,37,72,2024-04-01T20:52:20.701Z,2024-04-01T20:57:28.694Z,-2.90602405221356,-78.9837751481648,2480.2,-2.91892803499026,-78.9988736989799,2523.5,0.129866388903724,2.63236840228817
006727cd1ec1d57b5620da98cf89f345,38,85,2024-04-01T21:00:08.220Z,2024-04-01T21:06:04.682Z,-2.9192272150671,-78.9989795378003,2521.5,-2.9065264544912,-78.9834396064156,2479.3,0.10957305557198,2.59313742036128
006727cd1ec1d57b5620da98cf89f345,39,46,2024-04-01T21:06:42.683Z,2024-04-01T21:10:32.678Z,-2.90644042060491,-78.9834798523184,2478.5,-2.89784917026599,-78.9815936334052,2481.9,0.101754999955495,1.35784359592146
006727cd1ec1d57b5620da98cf89f345,45,36,2024-04-01T21:36:21.349Z,2024-04-01T21:52:52.005Z,-2.89376941298187,-78.9792946604482,2508.1,-2.89876379327044,-78.9961879797238,2531.1,0.292681944436497,2.19984735577271
006727cd1ec1d57b5620da98cf89f345,73,116,2024-04-01T23:43:01.910Z,2024-04-02T00:04:43.995Z,-2.8944203320943,-78.9821016945927,2507.7,-2.91923188260668,-79.0012659542553,2525.6,0.369745833277703,4.57359749153205
006727cd1ec1d57b5620da98cf89f345,79,57,2024-04-02T01:26:56.401Z,2024-04-02T01:31:26.962Z,-2.91898842753608,-78.9983423443856,2525.1,-2.91453398377528,-79.0054015939181,2520.9,0.132655000024372,1.62000381275565
006727cd1ec1d57b5620da98cf89f345,84,102,2024-04-02T02:46:20.761Z,2024-04-02T02:53:23.932Z,-2.91599938099573,-79.0011964692259,2505,-2.90006266098697,-79.0072034722663,2551.9,0.127928333348698,3.17907970679189
006727cd1ec1d57b5620da98cf89f345,88,82,2024-04-02T03:05:49.928Z,2024-04-02T03:11:22.925Z,-2.90190616490915,-78.9969691827977,2527.1,-2.89387930229343,-78.9793628770018,2507.8,0.108168055547608,2.64942615972772
006727cd1ec1d57b5620da98cf89f345,95,107,2024-04-02T12:55:56.515Z,2024-04-02T13:05:04.997Z,-2.89592547360963,-78.9834385798231,2508.5,-2.91689819364,-78.9977364092324,2508.8,0.161522499985165,3.45201141735527
006727cd1ec1d57b5620da98cf89f345,107,86,2024-04-02T18:04:09.939Z,2024-04-02T18:16:16.835Z,-2.91711550197805,-78.9978493094973,2509.1,-2.89398194099371,-78.9778165012683,2503.9,0.214971111151907,4.06475625175479
006727cd1ec1d57b5620da98cf89f345,115,20,2024-04-02T18:41:34.834Z,2024-04-02T18:51:01.790Z,-2.8937696083143,-78.9792948017345,2508.1,-2.8972016273768,-78.9857502488988,2512.4,0.164431944423252,0.82700907838951
006727cd1ec1d57b5620da98cf89f345,130,54,2024-04-02T19:11:12.804Z,2024-04-02T19:16:02.800Z,-2.89866596906055,-78.99663637185,2531.3,-2.89980815948617,-79.0012786099714,2537.7,0.0910105555587344,1.52431731019617
006727cd1ec1d57b5620da98cf89f345,140,71,2024-04-02T19:41:36.003Z,2024-04-02T19:47:07.007Z,-2.90121159532423,-78.9918934513358,2521.2,-2.89078528984666,-78.9819974896351,2521,0.12871749997139,2.14309328490404
006727cd1ec1d57b5620da98cf89f345,161,76,2024-04-03T02:07:43.906Z,2024-04-03T02:14:30.002Z,-2.89728020998259,-78.9857843350608,2510.5,-2.8996744182918,-79.0021249881202,2539.8,0.120026388896836,2.22521009385316
006727cd1ec1d57b5620da98cf89f345,162,41,2024-04-03T02:14:56.001Z,2024-04-03T02:20:02.999Z,-2.89962664957436,-79.002234383065,2543.9,-2.90505668473481,-79.0070232743859,2526.7,0.113563888933923,1.13871334365201
006727cd1ec1d57b5620da98cf89f345,163,45,2024-04-03T02:21:44.831Z,2024-04-03T02:25:28.997Z,-2.90552414796177,-79.0071608615869,2527.6,-2.89853104123649,-79.0155482714322,2550.4,0.101872499982516,1.43687363268456
006727cd1ec1d57b5620da98cf89f345,169,88,2024-04-03T04:04:29.962Z,2024-04-03T04:12:31Z,-2.9005414680195,-79.0027108531489,2541.2,-2.89385289962408,-78.9793646137507,2508.7,0.157043888900015,3.12928893041385
006727cd1ec1d57b5620da98cf89f345,177,115,2024-04-03T12:47:43.028Z,2024-04-03T12:57:20.051Z,-2.89566344254424,-78.9824400434754,2508.7,-2.91728525749618,-78.9976998920255,2511,0.188061944444974,3.75674335785577
006727cd1ec1d57b5620da98cf89f345,178,41,2024-04-03T12:59:00.051Z,2024-04-03T13:04:55.054Z,-2.91730123999889,-78.9977934064623,2511.3,-2.91845759538162,-79.0009460381256,2514.6,0.105000833272934,0.43223348848005
006727cd1ec1d57b5620da98cf89f345,179,6,2024-04-03T13:05:18.054Z,2024-04-03T13:05:42.056Z,-2.91853515620879,-79.0008938394888,2516,-2.91860255147164,-79.0011109410054,2516.8,0.0946836111280653,0.0838342067366524
006727cd1ec1d57b5620da98cf89f345,183,61,2024-04-03T18:12:06.491Z,2024-04-03T18:20:20.872Z,-2.91727910238714,-78.9976905916812,2511.8,-2.91064765242566,-79.0013581976034,2512.6,0.148241388930215,2.22087463022573
006727cd1ec1d57b5620da98cf89f345,196,68,2024-04-03T18:52:35.462Z,2024-04-03T18:57:29.818Z,-2.90574433143412,-78.9968496632504,2525.8,-2.89619627939187,-78.9838071146123,2509.3,0.0890594444672267,2.08440005925232
006727cd1ec1d57b5620da98cf89f345,205,68,2024-04-03T20:18:09.224Z,2024-04-03T20:28:45.664Z,-2.89445708914638,-78.9822010264259,2509.2,-2.89955866661634,-79.0020230948716,2540.2,0.19092666665713,2.73223218085246
006727cd1ec1d57b5620da98cf89f345,206,108,2024-04-03T20:29:36.560Z,2024-04-03T20:50:51.688Z,-2.89961846896943,-79.0021851534373,2539.4,-2.89392332552168,-78.9793874670946,2506.1,0.430636944439676,4.45540325333543
006727cd1ec1d57b5620da98cf89f345,211,102,2024-04-04T01:51:33.198Z,2024-04-04T02:07:35.697Z,-2.89900723274715,-78.9966714699872,2522.1,-2.89613215490025,-78.9835273920391,2508.9,0.283439444435967,5.29647243982048
006727cd1ec1d57b5620da98cf89f345,218,83,2024-04-04T12:58:32.745Z,2024-04-04T13:04:39.740Z,-2.89909470629324,-78.9845881105859,2488.3,-2.91696565016339,-78.9977583929699,2508.8,0.11360972225666,2.98269230718319
006727cd1ec1d57b5620da98cf89f345,219,45,2024-04-04T13:05:21.740Z,2024-04-04T13:10:50.763Z,-2.91699495125215,-78.9976700781212,2509.4,-2.91842795419868,-79.0009071641831,2514.9,0.180747222238117,0.490731095500007
006727cd1ec1d57b5620da98cf89f345,222,78,2024-04-04T18:06:55.021Z,2024-04-04T18:19:00.997Z,-2.91732696928639,-78.9984232589795,2509.2,-2.90158652034811,-78.9845104316144,2485.1,0.209758055607478,2.95539762185614
006727cd1ec1d57b5620da98cf89f345,228,58,2024-04-04T18:56:15.825Z,2024-04-04T19:01:57.982Z,-2.89443543609398,-78.9822611040388,2509.4,-2.89919340549202,-78.9967128688886,2531.4,0.106320277783606,2.00086613803137
006727cd1ec1d57b5620da98cf89f345,234,84,2024-04-04T19:13:18.977Z,2024-04-04T19:19:24.974Z,-2.90170634574719,-79.0041253152525,2538.6,-2.91662039660811,-79.0020561281997,2513.5,0.19972000002861,2.55030697134527
006727cd1ec1d57b5620da98cf89f345,236,29,2024-04-04T19:57:33.821Z,2024-04-04T20:07:44.533Z,-2.91810661098177,-78.9995320183673,2513.3,-2.90395721291789,-79.0009385953303,2525.5,0.176638611091508,2.10320005175369
006727cd1ec1d57b5620da98cf89f345,240,94,2024-04-04T20:13:52.828Z,2024-04-04T20:21:18.001Z,-2.89888910170858,-79.0022935773649,2537.3,-2.89383943896085,-78.9793997343318,2507.7,0.144778888887829,2.99778856379614
006727cd1ec1d57b5620da98cf89f345,247,50,2024-04-04T22:37:17.999Z,2024-04-04T22:42:14.998Z,-2.89248250950338,-78.9772888820804,2508.4,-2.88219603744637,-78.9759692894099,2490.9,0.103888611065017,1.67386906980722
006727cd1ec1d57b5620da98cf89f345,250,57,2024-04-04T22:45:43.998Z,2024-04-04T22:50:48.997Z,-2.88234081246418,-78.9727756842484,2488.1,-2.87454319525342,-78.9810697135392,2509.9,0.0999997222423553,1.45401347182793
006727cd1ec1d57b5620da98cf89f345,256,111,2024-04-04T23:03:00.147Z,2024-04-04T23:11:01.002Z,-2.87548404871771,-78.9810870554928,2508,-2.8939018946194,-78.9794223405515,2507.4,0.17742361108462,3.38262670029652
