User,tripID,N,departure,arrival,origin.Latitude,origin.Longitude,origin.Altitude,destination.Latitude,destination.Longitude,destination.Altitude,tot.time,tot.distance
006727cd1ec1d57b5620da98cf89f345,1,4,2024-06-02T01:34:50.489Z,2024-06-02T01:45:14.578Z,-2.89378334875854,-78.9792929182385,2499,-2.89378334875854,-78.9792929182385,2505,0.141520833306842,0.233649767047846
006727cd1ec1d57b5620da98cf89f345,6,106,2024-06-02T16:20:09.018Z,2024-06-02T16:27:54.853Z,-2.89591323645848,-78.9832351427192,2508.3,-2.90522327478175,-79.0066377591871,2527,0.14383361114396,3.89529495626949
006727cd1ec1d57b5620da98cf89f345,7,129,2024-06-02T16:28:46.819Z,2024-06-02T16:38:40.808Z,-2.90519375906194,-79.0068265462922,2526.8,-2.89418106203259,-79.0314579217976,2584.5,0.242491666674614,4.03991857247223
006727cd1ec1d57b5620da98cf89f345,8,12,2024-06-02T16:43:19.952Z,2024-06-02T16:44:47.768Z,-2.8940296428592,-79.0317543829206,2584.3,-2.89423427240394,-79.0315185295793,2584.8,0.130833611157205,0.198628206607821
006727cd1ec1d57b5620da98cf89f345,10,27,2024-06-02T22:18:34.069Z,2024-06-02T22:25:27.834Z,-2.89108228322794,-79.0308632053988,2581.2,-2.90313494357613,-79.0141370200624,2540.8,0.122132499946488,2.20222219594179
006727cd1ec1d57b5620da98cf89f345,23,56,2024-06-03T01:15:24.281Z,2024-06-03T01:24:21.836Z,-2.90412745626768,-79.0038553014628,2521.7,-2.90120447803696,-79.0050645996463,2544.2,0.155987500018544,0.6543393607408
006727cd1ec1d57b5620da98cf89f345,30,117,2024-06-03T03:33:30.548Z,2024-06-03T03:42:36.783Z,-2.9024832945735,-79.0028568946142,2518.8,-2.89389953000901,-78.9794257712658,2507.7,0.178766111003028,3.83571026081828
006727cd1ec1d57b5620da98cf89f345,34,28,2024-06-03T11:55:19.999Z,2024-06-03T12:04:27.993Z,-2.90645221700473,-78.9836177726547,2478.7,-2.91775428952505,-79.0007873859526,2514.2,0.17974944445822,2.45859522938187
006727cd1ec1d57b5620da98cf89f345,41,43,2024-06-03T17:12:54.211Z,2024-06-03T17:17:12.829Z,-2.90685981868819,-78.9832792562289,2480.4,-2.89383210318771,-78.9793996765504,2506.7,0.0946591666671965,1.81237727675409
006727cd1ec1d57b5620da98cf89f345,46,81,2024-06-03T18:48:04.583Z,2024-06-03T18:53:52.965Z,-2.89449882852914,-78.9820865988235,2508.4,-2.90007164258377,-79.0002094885487,2534,0.0949502778053283,2.59348673257496
006727cd1ec1d57b5620da98cf89f345,60,33,2024-06-03T19:32:19.182Z,2024-06-03T19:43:52.001Z,-2.89485211871913,-79.0064361850756,2552,-2.91604426251488,-79.0006628674442,2511.9,0.198862222234408,2.84248369198835
006727cd1ec1d57b5620da98cf89f345,62,69,2024-06-03T19:44:31.428Z,2024-06-03T19:49:44.005Z,-2.91602197171942,-79.0007271589828,2503.1,-2.91393269750406,-78.9903749496433,2498.1,0.0847644444306692,2.11728292434257
006727cd1ec1d57b5620da98cf89f345,64,55,2024-06-03T19:53:39.904Z,2024-06-03T19:57:23.011Z,-2.90662810589885,-78.983376010319,2469,-2.89379628126916,-78.9794103745724,2507.3,0.0959033333592944,1.82720937967691
006727cd1ec1d57b5620da98cf89f345,70,60,2024-06-03T20:53:01.525Z,2024-06-03T20:57:19.047Z,-2.89443522027022,-78.9822128996916,2509,-2.89475106633792,-78.9949897154482,2531.7,0.101638888849152,1.93702219055788
006727cd1ec1d57b5620da98cf89f345,95,61,2024-06-03T21:40:44.020Z,2024-06-03T21:45:08.019Z,-2.89592257303189,-78.9833241708578,2508.4,-2.8995600405121,-78.9857910763577,2492.5,0.0983327777518166,1.8477825940235
